nama,komentar,sentimen,waktu
Edison Sisoon,Langka banget manusia dan menteri kyk gini ???? salut pak N ??,positif,2020-08-20T05:55:23Z
kristonotaNa kris,"Lah,,dasar org2 pinter ya,,ngomong sana sini ,,mau buat kebijakan dan sistem apapun, kalau covidiotnya ""di panjangin terus"" di satu sisi bapak moyang anak2 yg sekolah -sudah-makin-dan akan terPHK krn perusahaan2 yg tutup,,pengurangan karyawan dll ya tetep kebijakan lu bermakna bodoh.KARENA lalu lintas apapun di negeri ini,termasuk bidang pendidikan akan macet-lambat-dan ambyar tanpa dukungan pendapatan ekonomi/keuangan para moyangnya..emangnya itu murid2 punya pendapatan dr bekerja???..\n\nAneh,,berhadapan dg sesuatu yg tdk terlihat,semu tp kok ribet,,menguras energi banget,dn begitu banyak yg hrs di korbankan..\n\nSebenarnya virusnya dimana? Sy sdh cari nyebur got,,aduk2 sampah,,bahkan tidur di pinggir sarang2 tikus,,tapi msh strong aja ,,super bahayanya di apanya jk di bandingkan dg semua yg sdh mjd korban ""dlm bentuk yg lain?""",negatif,2020-08-20T05:50:37Z
Edy Dwiyanta,Kurikulum wewenang orang tua dan sekolah.,netral,2020-08-20T05:49:58Z
firzon Ilman,Kurikulum mohon disederhanakan,netral,2020-08-20T05:46:24Z
Firman Labdesign,"Kurikulum melibatkan orang tua, berarti peran tempat (sekolah) semakin diperkecil, harusnya juga bisa memangkas biaya pendidikan, semoga kang menteri.",netral,2020-08-20T05:43:45Z
Fera Engel,kurikulum dirampingkan.. sangat setuju! ?? Fokus ke serapan bukan quantity tp quality.,positif,2020-08-20T05:43:12Z
sekojo channel,Kurikulum darurat ..dimana kami bisa peroleh ?,netral,2020-08-20T05:42:28Z
Hari Suprapti,Kurikulum berganta ganti.baru berjalan berubah lagi.lama lama jadi koplaaak.Binggung pedoman guru dan para dosennya.Maka mundur TDK bergabung PD pak Mentri.Bisa berdiri sendiri.Sejak dulu NU.Muha.mmadiyah PGRI.Organisasi .Dosen dan guru munddur TDK bergabung.Siapa yg pak Mentri Pimpin kalau balelo.Hayo pikir.Jangan gugu karepe Dewe.Orang TDK punya unt makan sj TDK ada.Munsuur sampai tahun baru sj.Rakyat bingung.sekolah matipendidikannya.Gara PJJ.Tidak bisa berkembang malah mengkeret ..Abooot Mentri Pendidikan.Mencerdaskan.Bukan pembodohan.,negatif,2020-08-20T05:42:16Z
Karya Citra Anugrah,kurikulum bener banget tu...,positif,2020-08-20T05:33:14Z
malik thamrin,"Kurangi / hilangkan resiko sekolah tatap muka , konversi / pikirkan ke tunjangan / subsidi pemerintah utk peluasan internet gratis dan merata...",netral,2020-08-20T05:31:36Z
Yusuf Effendi,"Kurang berani dan cemderung main aman, sama dgn yg lain2nya",negatif,2020-08-20T05:29:15Z
Dimas Nur,Kuota gratisnya kapan pak?,netral,2020-08-20T05:26:42Z
channel berfaedah:v,Kuota gratis ??,netral,2020-08-20T05:16:17Z
Rafiq Mustafa,"Kuncinya adalah ""membaca"", bagaimana cara menjadikan bangsa indonesia ini suka membaca, kalau sudah suka membaca, tugas apapun dari sekolah bisa lebih ringan, karena banyak sumber dan banyak berbagai penjelasan.",netral,2020-08-20T05:15:55Z
audi arya,kuliah gw di kampus sekarang harus bayar full persemester tanpa potongan,negatif,2020-08-20T05:13:52Z
bima abdi,"Kuliah daring sore malem nongkrong sama aja bohong. Kesehatan bkn jd priotas untuk semua ini. Karna bukan 1 atau 2 orang yang sudah tau covid dan tidak percaya semenyeramkan dimedia. Kalau semua orang tidak peduli dengan covid apa masih pantas pemerintah sengotot itu buat pjj atau bakalan dibuka tp konsepnya kaya gtu? Daring malah bikin bsr peluang ktmu org, pulang malem, main futsal ga kenal waktu. Toh juga bsk daring tgl idupin hp buka zoom lanjut tidur",negatif,2020-08-20T05:12:53Z
Muntaufikh,"Kuliah bayar full, ngajuin keringanan ditolak\nDosen cuma ngasih ppt sama tugas\nFeedback ga ada\nPenyerapan materinya kurang",negatif,2020-08-20T05:12:12Z
Daniel Smith,Kualitas seorg Menteri terlihat jelas disini??,positif,2020-08-20T05:07:56Z
Omega Network,"krisis yg lebih penting adalah krisis moral...krisis kepercayaan terhadap pemerintah, ,,,yokk buktikan kepada rakyat berbuat sebanyak""nya, sebaik""nya untuk rakyat.",positif,2020-08-20T05:04:50Z
Rafa Ariski,Krisis Kepemimpinan yg menyayangi rakyatnya.,negatif,2020-08-20T04:53:36Z
INDRA bayu,krisis di indonesia adalah krisis dimana wakil negara tidak melihat apa yg terjadi di lapangan..hanya liat dari meja dan mendengar dari lingkungan kalangan mereka,negatif,2020-08-20T04:50:41Z
Joko Prasetiono,Kren cara berpikirnya pak mentri satu ini salut bener bener orang gila pengila imposibelity,positif,2020-08-20T04:49:46Z
Resman simbolon,"kpn intsitusi pendidikan mulai  tatap muka... kalau  harus online  maka opsi terbaik smua biaya  gratis ukt, spp baik dari tingkat tk sampai s1.....",netral,2020-08-20T04:49:16Z
rosa wardana,Korban nadim...  Generasi bodoh. Buktikan nnti dan ingat itu,negatif,2020-08-20T04:41:12Z
tubagus Yusuf,Koq gua enek ngeliat nih orang ya... pak pertanyaannya knapa kalau di media televisi mereka tetap bisa shooting dan pas on cam mereka tidak mengunakan masker dll,negatif,2020-08-20T04:38:11Z
sepri s,"Kompleks sekali pendidikan kita, \n\nDi daerah saya banyak sekali mafianya, kerja dikit tapi pikirannya mau cuan aja. Ada anggaran dikit, kalau bisa ditilep. Ah kacau...dari atasnya aja udah kacau ??",negatif,2020-08-20T04:35:26Z
Fuad Hasan,Kok ya untung mendikbudnya nadiem bos di pandemi ini,positif,2020-08-20T04:33:57Z
heru setiadi,"Kok saya nangkep masalah pop yang terjadi dari mata pak nadiem dengan info dari opini.id yang mengungkapkan protest nya NU & muhammadiyah yah? Kan yang paling di protest itu sistem mendapatkan jatah bantuan ke organisasi ya? Ada pengkategorian, 3 type, dan ada organisasi yang mendapat kategori 1 yang besar dananya tapi ga jelas profil organisasinya. Bikin forum aja yang langsung antara pak menteri, NU, muhammadiyah. Kita tonton langsung biar ga beda info begini.",netral,2020-08-20T04:23:09Z
Syamsul Bahri,Kok ribet ya!,negatif,2020-08-20T04:23:02Z
Hari Android,"kok ikut bodoh dunia, harusnya kita pintar diantara dunia. mentri kerja untuk solusi bukan terlena dengan derita.",negatif,2020-08-20T04:22:16Z
Dshe Nathalie,"Kok gw sedih ya....luar biasa pak menteri kita , sy terus berdoa utk pak nadiem , tetep semangat perjuangkan anak2 kami ya pak....God bless u",positif,2020-08-20T04:22:11Z
Miza Aslan,"Ko Deddy, Pak Nadiem, pembelajaran online banyak ditolak baik oleh pembelajar maupun pendidik, itu masalah KEBIASAAN aja. Pembelajar tidak terbiasa disuruh belajar mandiri. Tugas pendidik sebenarnya bukan hanya memberikan materi, tapi bagaimana meningkatkan KEMAMPUAN BELAJAR MANDIRI. Kalau pembelajar punya kemampuna belajar (learning ability) yang baik, sebenarnya diberi materi bahkan hanya dikirimi modul pun bisa belajar dengan baik. Yang terjadi sekarang kan pembelajar maunya belajar di kelas, dengerin ceramah langsung dari pendidik. Ini nih, kayak anak kecil mesti disuap baru bisa makan. Pola pendidikan seperti ini yang harus diubah. Nanti kalau sudah di dunia kerja, efeknya terasa banget. Anak2 yang tidak mandiri, tidak punya kemampuan belajar, pada saat bekerja ketemu masalah, kreatifitas dan problem solving nya rendah. Ini yang membuat daya saing kita di dunia kerja menjadi rendah. Maka jangan kaget nanti pekerja asinglah yang lebih dipilih. Mari, mulai perbaikan, dari dunia PENDIDIKAN.",netral,2020-08-20T04:10:56Z
zaharaamiza79 zaharaamiza79,klu tnya seperti itu yg jelas generasi semakin bodoh.,negatif,2020-08-20T04:02:04Z
Ferdi Gunawan,Klo menteri blm apa2 udh diganti ya kagak kelar2 lah kerjaannya,negatif,2020-08-20T04:01:39Z
EKO MAFRUDIN,"Klo melihat gambaran kondisi Indonesia saat ini, saya tidak bisa tertawa ??",negatif,2020-08-20T03:58:22Z
Pratama Lutfi,klo gabisa jangan dipaksa,netral,2020-08-20T03:58:11Z
Ad Ad,"klo bhas pendidikan yg saya tau SEKOLAH. SD SMP SMA dan PERGURUAN TINGGI.\ndan yang saya lihat adalah TAWURAN , DAN PERGAULAN BEBAS di kalngan pelajar. ini dari berita seluruh indoneisa lho. tawuran, sex, narkoba, pembunuhan dan kriminal lainya.   banyk bngt ya? yg sya rasain putus asa lah , anak smk bangga bangga bangt bawa celurit  sambil TERIAK-teriak.   lucunya yyg da di imajinasi saya adalh pertanyaan? apa ini negara bebas? haahhahahhahhha indonesia butuh berubahan, dri PENDIDIKAN jg sama KEAMANAN jg,  krna BNYK ORANG PINTER yg masih pngen MELENCENG, pinter ajh enggk cukup buat menahan kriminalitas, krna hawa nafsu manusia cuman bisa di bendung KETAQWAAN pada ALLAH SWT yang sesungguhnya,       bukanya sok hebat, ini cuman komentar dan pendapat sya,     sya sneng ada perubahan di sistem pendidikan indonesia, sya sneng mentri pendidikan pak Nadiem, smngt trus pak, jgn lupa pak tawuran pelajar di mna2, dan sistem yg bkl bapk kirim itu ke mereka.",negatif,2020-08-20T03:56:52Z
Ani Sumarni,"Klo anakny om Dedy sklh yg bagus yg mahal aj merasa tdk efektif belajar daring, apalagi anak sy yg sklh d SMA negeri, sy rasa kt mo protes spt apa jg klo tnp solusi percuma aj",negatif,2020-08-20T03:54:49Z
Muhammad Rizky Jaya,kita percaya pak nadiem mampu membawa pendidikan indonesia ke tingkat yg lebih tinggi aamiin,positif,2020-08-20T03:49:25Z
Dilla Zeta Dalila Zulhaq,"ketika pendidikan ekonomi dan kesehatan akan menjadi satu kesatuan dalam perubahan tidak ada tugas online atau sekolah online untuk masyarakat Indonesia, dikarnakan angka ekonomi dan kesehatan mempengaruhi dalam berbagai aspek,",netral,2020-08-20T03:46:17Z
keiy rea,"Ketika orang tuanya yang mengatur agar tetap disiplin(belajar sesuai waktunya) supaya serasa disekolah,gurunya yang melonggar,guru hanya kasi video ttng materi/tugas yang menjelaskan agar masuk ke otak anaknya ttp orang tua nya,serasa jadi murid lagi cuma lebih tua 1thn dari anak.",netral,2020-08-20T03:39:04Z
Rian Ferdiansyah,"Ketika kita lahir di keluarga yg kurng beruntung atau kurng mampu atau contoh hanya pedagang gorengan berarti sangat sulit untuk mendapatkan pendidikan yang maksimal, lantas KEMANUSIAAN YANG ADIL DAN BERADAB pun saya percayakan masih berlaku kah? Apa hanya ungkapan semata (msh banyak yg mungkin saya tanyakan atau kritik karena saya peduli dengan masyarakat kecil yg membutuhkan perhatian dari pemerintah) terimakasih banyak mohon maaf jika ada yang salah ??",netral,2020-08-20T03:33:06Z
Telaga Silaba,"Kesimpulannya tetap ingin daring, boleh tatap muka tp dgn aturan yg super sulit, ya tetap saja daring jdnya...\nAda sesuatu di balik sesuatu hahaha",negatif,2020-08-20T03:29:08Z
hendra rahmansyah,"Keshatan atau satu generasi hancur,\nTanpa memandang rendah ksehatan. Kita smua tau jumlah dokter dan perawat mengalami kekurang. Dan terus terjadi slama 5 tahun kedepan MISALKAN, jika generasi kedpan tidak siap? Siapa yg akan menyambung selanjutnya?? Siapa yg akan jadi perawat yg berkompeten? Siap yg jadi dokter yg berkompeten??\nSorry tanpa merendahkan siapa pun??",negatif,2020-08-20T03:28:14Z
Joni Sultanas,Kerja yg bener bro. Anak Indonesia tangguh. Jangan liburkan anak selama itu...  Memupuk jiwa pengangguran sejak dini?\nGarap tuh kurikulum daripada gabut,negatif,2020-08-20T03:23:13Z
Nursakinah Kuraisy,Keren...jadi ngefans sama Pak Menteri...,positif,2020-08-20T03:13:56Z
Dwi Purnomo,Keren.....\n..,positif,2020-08-20T03:10:58Z
Nurul Amanah,"Keren sih, positif person",positif,2020-08-20T03:06:00Z
Fajar Maulana,Keren pak Nadim.\nLanjutkan...,positif,2020-08-20T03:01:06Z
BIOSKOP PARUNGPANJANG,Keren Pak Nadiem... saya yakin pendidikan Indonesia kedepan lebih efektif dan membuat Rakyat indonesia menjadi cerdas... Biarkan anak indonesia berpikir sendiri jangan lagi dibentuk untuk kepentingan pendahulunya...,positif,2020-08-20T02:59:27Z
Dwi Sumartini,Keren pak nadiem. ??,positif,2020-08-20T02:59:07Z
Agustinus Sape,Keren mas Nadiem cerdas,positif,2020-08-20T02:54:25Z
Agung Pranayoga,Keren mas menteri nadiem.. ide ide nya briliant.. ngak semua orang bisa berfikir gila seperti anda untuk memajukan pendidikan di indonesia.. \n\nWe Proud of You..,positif,2020-08-20T02:53:09Z
Anna Purna,"Keren bngt modul kurikulum untuk sd nya... Sumpah,gw setuju bngt pak nadiem...",positif,2020-08-20T02:36:08Z
Dina Rizky Amalia,"Keren bgtlaa pak mentrii , bener2 memperjuanginn pendidikan di indonesiaa . \n\nSemangat yaa anak sekolah yg pjj , support trusss pak mentri kita ini ??????",positif,2020-08-20T02:33:29Z
tortila lolo,Keren bat cok,positif,2020-08-20T02:26:36Z
Fransiska Kellen,Keren banget????????,positif,2020-08-20T02:24:00Z
Jago Pajak,keren banget pak Menteri..??????????,positif,2020-08-20T02:13:31Z
Anna Horan,"Keren banget mau nangis??, dipikirinnya detail banget",positif,2020-08-20T02:13:07Z
D. Umar.,Keren,positif,2020-08-20T02:09:49Z
Atin Setiaku ofc,Keren,positif,2020-08-20T02:06:34Z
qing yinda,Keren,positif,2020-08-20T02:06:31Z
Alya Salsabila,Kereeeen,positif,2020-08-20T02:04:16Z
ari haryanto,Keramaian terjadi karena mereka takut ke hilangan (uang),netral,2020-08-20T01:56:21Z
ikhsan muharramsyah,"keputusan yang baik pak Nadiem.....\n\nNamun masalah terbesar itu adalah disaat generasi muda sekarang sulit untuk melakukan pendidikan secara tatap muka, diluar sana banyak masyarakat yang nongkrong-nongkrong ga jelas di tempat publik yang ramai.\nUntuk menolong para pelaku usaha cukup beli saja produknya, bukan dengan nongkrong yang berjam jam dengan hanya pesan secangkir kopi saja ..\n\nlanjutkan semangatmu pak Nadiem....",positif,2020-08-20T01:55:42Z
Heru Bawana,"Keputusan tetap harus diambil, disaat banyak pertimbangan2. Sangat berani dan itu yg aku suka.",positif,2020-08-20T01:55:18Z
Pendyrana Bayuwilantara,"Kepada Pak Nadiem...saya guru BK SMA mohon ijin utk mengijinkan (khusus) kls 12 utk bimbingan tatap muka karena banyak yg harus disampaikan dan dijelaskan secara langsung kepada kls 12 berkaitan dg rencana karir mereka (kuliah, bekerja, menikah, nganggur).\nTerima kasih.",netral,2020-08-20T01:45:06Z
Safwa Dafta,"Kepada mas metri,\nSemua membicarakan dampak buat anak2.\nDan lupa dampak pada guru honorer\nSemua dapat bantuan, dan guru honorer hanya melihat.\nTak dapat bantuan apa2.",netral,2020-08-20T01:44:21Z
Erwin Ho,"Kenapa tidak dicoba guru? rekam video pengajaran mereka. Misal dengan coret2 di papan kecil, direkam, bagikan ke grup wali murid masing2 kelas. \nJadi tidak melulu otodidak karena tidak semua orangtua sanggup mengikuti mata pelajaran anak? sekarang",negatif,2020-08-20T01:42:16Z
Samad Abdul,"Kenapa tidak di perbanyak saja tenaga pendidiknya.. jika di zona kuning dan hijau melakukan relaksasi pengajaran dengan memotong 50% peserta didik jadi tidak perlu melakukan perollingan yang menyita banyak waktu, untuk kekurangan ruang mengajar bisa menggunakan rumah orang tua peserta didik yang menyanggupi,rumah pendidik  atau bangunan-bangunan milik Pemda yang tidak terpakai, selain itu kita juga harus mendukung peran yang bekerja di dunia kesehatan tetap taat protokol penangan covid, kementrian pendidikan dan kesehatan harus melakukan kerjasama yang baik yang mampu melancarkan tugas dan fungsi masing-masing lembaga tersebut, meningkatkan peran orang tua dalam menemani anak dalam proses belajar mengajar nampaknya perlu untuk membuat orang tua punya banyak waktu luang setelah pandemik covid berakhir dengan cara apa menciptakan waktu luang orang tua untuk perduli terhadap hasil belajar anak yang begitu banyak orang tua tidak melakukan itu kecuali di saat pandemik saat ini..",netral,2020-08-20T01:40:14Z
Siti Nurlita,"Kenapa semenjak pjj guru memberikan tugas banyak dan pasti diberi jarak waktu mengerjakan hanya sebentar, sedangkan pembelajaran biasa seperti dulu jika ada tugas, dikumpulkan pada waktu pertemuan selanjutnya di mapel yg sama meskipun ada tugas yg diberi waktu singkat tetapi tidak semua mapel, sedangkan sekarang mungkin batas waktu pengumpulan tugas paling lambat 1 minggu.",negatif,2020-08-20T01:32:40Z
Rendi Ramadhan,Kenapa nggak coba mengadaptasi sistem pondok pesantren lalu di mix dengan kebutuhan-kebutuhan akademik masa kini,netral,2020-08-20T01:22:18Z
Sandy Munthe,"Kenapa masa pandemi covid ini hanya pendidikan yg di lockdown,dan belajar secara online yg tidak efesien....kalau wisata wisata mereka bisa mengunjungi nya dan mall mall mereka bisa keluar masuk berbelanja kenapa sekolah harus ditutup...saya sendiri muak dgn kondisi seperti ini karena ini adalah pembodohan secara tidak langsung..",negatif,2020-08-20T01:06:22Z
Ari Bahtiar,kenapa di persulit sih?..,negatif,2020-08-20T01:02:09Z
Kicau Hobi Hobi,kenapa dana pulsa gak dijadiin wifi aja?,netral,2020-08-20T00:59:03Z
Ahmadi Midi,"Kemungkinan jika diteruskan secara online kayak gini anak anak bakal sdh kecanduan dengan namanya teknologi sehingga menjadi bagian hidup mereka (gak bisa jauh dari namanya handphone).. Bukan hanya itu mungkin saja kedepannya bisa saja mengganggu kesehatan mata bagi pengguna Nya.. \n\n\nIngat waktu sekolah gw paling jarang main Handphone disekolah karena gw lebih penting kan kesehatan dan sekarang dirumah aja rasa berbeda, sekarang bisa main Hp berjam jam",netral,2020-08-20T00:58:33Z
Zahrah Gyna,Kemendikbud tinggal mengeluarkan keputusan membuka sekolah dengan syarat protokol covid yang berjalan. Masalah teknis pembelajarannya berikan kewenangan kepada daerah masing2.,netral,2020-08-20T00:58:19Z
RSS Berkah,"Kembalikan  Guru sebagai pengajar, pembimbing, pembina dan berikan kewenangan dalam mendidik. Jangan sampai ada guru yg berbisnis di sekolah atau sampai mengintimidasi murid. Buat pengawas independen non formal, yg mengawasi kirnerja para guru yg memberikan penilaian secara objektif. Bilamana ada guru yg baik dlm mendidik muridnya, ini patut utk mendapatkan penghargaan. Namun bilamana ada guru yg berbuat diluar tugasnya sebagai guru, bahkan melakukan pungli, mk guru tersebut patut utk dikeluarkan.",netral,2020-08-20T00:36:12Z
Rendy Yahya,KEMBALI LAGI KE SDM YANG ADA DI NEGARA INDONESIA\n\nJadi jangan menghakimi seseorang seblum faham betul apa permasalahannya dan bagaimana menyelesaikan persoalannya.,netral,2020-08-20T00:30:45Z
Edy Dwiyanta,Kemajuan nasional butuh orang gila,positif,2020-08-20T00:30:21Z
Dedy Irawan,"Kelihatan bgt pak mentri seorang yg tulus membangun dan mencerdaskan anak bangsa walaupun banyak rintangan yg harus dilewati, saya yakin terobosan2 itu semuanya akan bermanfaat walaupun blm signifikan, tp sudah kelihatan sisi positifnya, memang karakter org penggagas brilliant... sukses pak mentri... sehat selalu",positif,2020-08-20T00:27:01Z
